scaffold,pos,female,male,DP_ratio
11,778,15.5556,19.125,1.2294607729692202
11,918,15,18.125,1.2083333333333333
11,1071,10.6667,17,1.593745019546814
11,1072,12.6429,18.1111,1.4325115282095091
11,1082,12.7857,18.2222,1.4252015924040138
11,1128,12.3571,17.6667,1.429680102936773
11,1208,15.1667,18.2,1.199997362643159
11,1209,14.7273,18.8571,1.2804179992259273
11,1304,7.2,6.2,0.8611111111111112
11,47812,17.6923,26.5714,1.5018623921140837
11,47816,18.6154,27,1.4504120244528722
11,47820,21.2308,28.125,1.3247263409763175
11,47824,21,28,1.3333333333333333
11,47828,21.5385,29.625,1.375443972421478
11,47829,21.8462,29.5,1.3503492598255074
11,47832,22.1538,29.625,1.337242369254936
11,47837,22.4615,29.75,1.324488569329742
11,47862,22.4615,29.5,1.3133584132849543
11,47863,22.3846,29.375,1.3122861252825604
11,47864,22.3077,29.25,1.311206444411571
11,47868,22,27.75,1.2613636363636365
11,47869,21.8462,26.75,1.2244692440790619
11,47872,19.9375,20.5,1.0282131661442007
11,47881,19.875,18.7,0.9408805031446541
11,47882,19.6875,18.3,0.9295238095238095
11,47884,19,19.3333,1.017542105263158
11,47886,19.5625,17.0909,0.8736562300319489
11,47888,19.4286,12.1111,0.6233645244639346
11,47893,19.1429,11.8889,0.6210605498644406
11,47895,18.7143,11.7778,0.6293476111850296
11,47896,10.6923,9.25,0.8651085360493066
11,47897,6.6,6,0.9090909090909092
11,48018,17.8333,19.3846,1.0869889476428927
11,48026,18.5556,20.3571,1.0970865938045657
11,48027,18.6667,20.4286,1.0943873314511938
11,48028,18.7222,20.5714,1.0987704436444434
11,52219,10.1111,7.9375,0.7850283351959727
11,63731,5.85714,7.1,1.2121957132662016
11,63803,6,7.25,1.2083333333333333
11,63845,7.71429,9.45455,1.2255891339319624
11,63846,7.4,8.53333,1.1531527027027026
11,63872,5.66667,7.25,1.2794110121111695
11,63903,5.83333,6.875,1.1785721020412012
11,63906,5.71429,7,1.224999081250689
11,65335,8,7.77778,0.9722225
11,65336,7.93333,7.5,0.9453785484783818
11,65339,7.8125,7.91667,1.01333376
11,65380,7.875,8.16667,1.0370374603174604
11,65448,7.86667,8.41667,1.069915224612193
11,65454,7.92857,8.08333,1.0195192827962671
