chr	start	end	transcript	gene
scaffold_12	17530136	17573764	AnoGra1.1_502163	AACS
scaffold_12	16188046	16200523	AnoGra1.1_500601	ABCB9
scaffold_12	25637259	25649794	AnoGra1.1_506943	ACAD10
scaffold_12	12610824	12621723	AnoGra1.1_498436	ACADS
scaffold_12	12268877	12294700	AnoGra1.1_497899	AIFM3
scaffold_12	25657493	25670765	AnoGra1.1_506987	ALDH2
scaffold_12	24346970	24370012	AnoGra1.1_505482	ANAPC5
scaffold_12	15999231	16011762	AnoGra1.1_500428	ANAPC7
scaffold_12	21433006	21448733	AnoGra1.1_503521	ANKLE2
scaffold_12	16243680	16252619	AnoGra1.1_500645	ARL6IP4
scaffold_12	16015626	16030926	AnoGra1.1_500454	ARPC3
scaffold_12	15947765	15984460	AnoGra1.1_500384	ATP2A2
scaffold_12	16741262	16765970	AnoGra1.1_501376	ATP6V0A2
scaffold_12	25566676	25608219	AnoGra1.1_506712	ATXN2
scaffold_12	24818322	24819410	AnoGra1.1_506020	B3GNT4
scaffold_12	12873927	12904934	AnoGra1.1_498789	BICDL1
scaffold_12	25624004	25636318	AnoGra1.1_506888	BRAP
scaffold_12	17517692	17524638	AnoGra1.1_502153	BRI3BP
scaffold_12	12567238	12572301	AnoGra1.1_498392	CABP1
scaffold_12	23386602	23392766	AnoGra1.1_504458	CCDC116
scaffold_12	13086074	13089841	AnoGra1.1_499081	CCDC60
scaffold_12	16859401	16862411	AnoGra1.1_501582	CCDC92
scaffold_12	22965307	22996735	AnoGra1.1_504139	CDC45
scaffold_12	16516541	16526335	AnoGra1.1_500918	CDK2AP1
scaffold_12	15008363	15030158	AnoGra1.1_499888	CHCHD10
scaffold_12	21281505	21306431	AnoGra1.1_503317	CHFR
scaffold_12	12731046	12827238	AnoGra1.1_498537	CIT
scaffold_12	24898732	24998607	AnoGra1.1_506078	CLIP1
scaffold_12	12441217	12445303	AnoGra1.1_498234	COQ5
scaffold_12	26329260	26364399	AnoGra1.1_507886	CORO1C
scaffold_12	25425942	25484338	AnoGra1.1_506604	CUX2
scaffold_12	13581762	13602950	AnoGra1.1_499376	DDX54
scaffold_12	16674001	16680625	AnoGra1.1_501203	DDX55
scaffold_12	16041177	16046135	AnoGra1.1_500488	DENR
scaffold_12	23900937	23949610	AnoGra1.1_505011	DGCR2
scaffold_12	17468586	17468819	AnoGra1.1_502087	DHX37
scaffold_12	24822470	24832662	AnoGra1.1_506026	DIABLO
scaffold_12	16772123	16856042	AnoGra1.1_501420	DNAH10
scaffold_12	13473311	13503386	AnoGra1.1_499259	DTX1
scaffold_12	12438884	12439805	AnoGra1.1_498226	DYNLL1
scaffold_12	16689248	16692992	AnoGra1.1_501241	EIF2B1
scaffold_12	20105465	20192646	AnoGra1.1_502942	EP400
scaffold_12	25753730	25757872	AnoGra1.1_507179	ERP29
scaffold_12	20491473	20504633	AnoGra1.1_503132	FBRSL1
scaffold_12	15567077	15596645	AnoGra1.1_500172	FBXO21
scaffold_12	15614403	15624909	AnoGra1.1_500200	FBXW8
scaffold_12	26225107	26230046	AnoGra1.1_507800	FICD
scaffold_12	19505917	19507656	AnoGra1.1_502436	FZD10
scaffold_12	20224502	20274303	AnoGra1.1_503090	GALNT9
scaffold_12	12410281	12413838	AnoGra1.1_498202	GATC
scaffold_12	13030801	13077191	AnoGra1.1_498965	GCN1
scaffold_12	18911057	18966413	AnoGra1.1_502354	GLT1D1
scaffold_12	21374388	21410249	AnoGra1.1_503373	GOLGA3
scaffold_12	22790069	22790674	AnoGra1.1_504011	GP1BB
scaffold_12	16032116	16034819	AnoGra1.1_500476	GPN3
scaffold_12	23866513	23870736	AnoGra1.1_504950	GSC2
